Abeu (UNIABEU)
Academia da Força Aérea (AFA)
Academia de Polícia Militar de Minas Gerais (APM)
Academia de Polícia Militar do Espírito Santo (APM/ES)
Academia Judicial do Tribunal de Justiça de Santa Catarina (AJ)
Academia Militar Das Agulhas Negras (AMAN)
Academia Nacional de Polícia (ANP)
Ajes (AJES)
Alfa (ALFA - TO)
Brain Business School (BRAIN)
Ceddu (CEDDU)
Cenac 
Centro de Educação Técnica da Utramig (UTRAMIG)
Centro de Educação Tecnológico da Fundação Indaiatubana de Educação E Cultura (FIEC)
Centro de Ensino E Pesquisa do Pró(Procep)
Centro de Ensino Superior Cesul (CESUL)
Centro de Ensino Superior de Altamira
Centro de Ensino Superior de Arcoverde (CESA)
Centro de Ensino Superior de Bacabeira (CESBA)
Centro de Ensino Superior de Conselheiro Lafaiete (CES-CL)
Centro de Ensino Superior de Divinópolis
Centro de Ensino Superior de Ilhéus (CESUPI)
Centro de Ensino Superior de Jataí (CESUT)
Centro de Ensino Superior de Lorena
Centro de Ensino Superior de Palmas (CESUP)
Centro de Ensino Superior de Serra Dourada
Centro de Ensino Superior de Sete Lagoas
Centro de Ensino Superior de Vitória (CESV)
Centro de Ensino Superior do Amapá (CEAP)
Centro de Ensino Superior do Vale do Parnaíba (CESVALE)
Centro de Ensino Superior do Vale São Francisco (CESVASF)
Centro de Ensino Superior Riograndense (CESURG)
Centro de Ensino Superior Riograndense Guapore (CESURG Guapore)
Centro de Ensino Superior Sociesc de Jaraguá do Sul
Centro de Ensino Unificado do Piauí (CEUPI)
Centro de Estudos de Pessoal E Forte Duque de Caxias (CEP)
Centro de Estudos Em Direito E Negócios
Centro de Estudos Superiores Aprendiz (CESA)
Centro de Estudos Superiores de Jataí
"Centro de Formação, Treinamento E Aperfeiçoamento (Cefor)"
Centro de Instrução de Aviação do Exército (CIAvEx)
Centro de Instrução de Guerra Eletrônica (CIGE)
"Centro de Medicina Especializada, Pesquisa E Ensino (CEMEPE)"
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET/RJ)
Centro Federal de Educação Tecnológica de Minas Gerais (CEFET/MG)
Centro Regional Universitário de Espírito Santo do Pinhal (UNIPINHAL)
Centro Superior de Ensino E Pesquisa de Machado (CESEP)
Centro Superior de Estudos Jurídicos Carlos Drummond de Andrade (CSEJCDA)
Centro Técnico(CTESOP)
Centro Universiário Uniftc
Centro Universitário Academia (Uniacademia)
Centro Universitário Adventista de São Paulo (UNASP)
Centro Universitário Aeso (Uniaeso)
Centro Universitário Ages (UniAGES)
Centro Universitário Alfredo Nasser (UNIFAN)
Centro Universitário Álvares Penteado (FECAP)
Centro Universitário Alves Faria (UNIALFA)
Centro Universitário Amparense (UNIFIA)
Centro Universitário Anhangüera (UNIFIAN)
Centro Universitário Anhanguera de Fortaleza (UNIPITÁGORAS)
Centro Universitário Anhanguera de Marabá
Centro Universitário Anhanguera de São Paulo
Centro Universitário Anhanguera Pitágoras Ampli
Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande
Centro Universitário Anhanguera Pitágoras Unopar de Niterói (UNIAN-RJ)
Centro Universitário Antônio Eufrásio de Toledo de Presidente Prudente (TOLEDO PRUDENTE)
Centro Universitário Aparício Carvalho
Centro Universitário Araguaia (UNIARAGUAIA)
Centro Universitário Armando Alvares Penteado (FA-FAAP)
Centro Universitário Arnaldo Horácio Ferreira
Centro Universitário Arthur Sá Earp Neto (UNIFASE)
Centro Universitário Assis Gurgacz (FAG)
Centro Universitário Assunção (UNIFAI)
Centro Universitário Atenas (UniAtenas)
Centro Universitário Ateneu
Centro Universitário Augusto Motta (UNISUAM)
Centro Universitário Autônomo do Brasil (UNIBRASIL)
Centro Universitario Avantis (UNIAVAN)
Centro Universitário Barão de Mauá (CBM)
Centro Universitário Barriga Verde (UNIBAVE)
Centro Universitário Belas Artes de São Paulo (FEBASP)
Centro Universitário Brasileiro (UNIBRA)
Centro Universitário Brasília do Estado de Goiás (UniBRASÍLIA)
Centro Universitário Braz Cubas
Centro Universitário Cambury (UniCambury)
Centro Universitário Campo Limpo Paulista (UNIFACCAMP)
Centro Universitário Campo Real
Centro Universitário Campos de Andrade (UNIANDRADE)
Centro Universitário Carlos Drummond de Andrade (UniDrummond)
Centro Universitário Castelo Branco (UNICB)
Centro Universitário Cathedral
Centro Universitário Católica de Quixadá (UNICATÓLICA)
Centro Universitário (Católica em Jaraguá )
Centro Universitário (Católica em Joinvile)
Centro Universitário Católica do Leste de Minas Gerais (UNILESTE)
Centro Universitário Católica do Tocantins (UNICATÓLICA)
Centro Universitário Católico Salesiano Auxilium (UNISALESIANO)
Centro Universitário Celso Lisboa (UCL)
Centro Universitário Cenecista de Osório (UNICNEC)
Centro Universitário Central Paulista (UNICEP)
Centro Universitário Cesmac (CESMAC)
Centro Universitário Cesuca
Centro Universitário Ceuni (FAMETRO)
Centro Universitário Christus (UNICHRISTUS)
Centro Universitário Cidade Verde (UniCV)
Centro Universitário Cnec de Bento Gonçalves
Centro Universitário Curitiba (UNICURITIBA)
Centro Universitário da Amazônia (Unama)
Centro Universitário da Amazônia (UNIESAMAZ)
Centro Universitário da Fundação Educacional de Barretos (UNIFEB)
Centro Universitário da Fundação Educacional Guaxupé (UNIFEG)
Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros (FEI)
Centro Universitário da Fundação Herminio Ometto (FHO)
Centro Universitário da Grande Dourados (UNIGRAN)
Centro Universitário da Grande Fortaleza (UNIGRANDE)
Centro Universitário da Indústria (Unindus)
Centro Universitário da Região da Campanha
Centro Universitário Das Américas (CAM)
Centro Universitário da Serra Gaúcha (FSG)
Centro Universitário Das Faculdades Associadas de Ensino (UNIFAE)
Centro Universitário Das Faculdades Integradas de Ourinhos (Unifio)
Centro Universitário Das Faculdades Metropolitanas Unidas (FMU)
Centro Universitário da Vitória de Santo Antão (UNIVISA)
Centro Universitário de Adamantina (FAI)
Centro Universitário de Araras (UNAR)
Centro Universitário de Barra Mansa (UBM)
Centro Universitário de Bauru
Centro Universitário de Belo Horizonte (UNI-BH)
Centro Universitário de Brasília (UNICEUB)
Centro Universitário de Brusque (UNIFEBE)
Centro Universitário de Caratinga (UNEC)
Centro Universitário de Ciências E Empreendedorismo (UNIFACEMP)
Centro Universitário de Ciências E Tecnologia do Maranhão (UniFacema)
Centro Universitário de Desenvolvimento do Centro Oeste (UNIDESC)
"Centro Universitário de Ensino, Ciência E Tecnologia do Paraná (UniEnsino)"
Centro Universitário de Ensino Superior do Amazonas (CIESA)
Centro Universitário de Excelência (UNEX)
Centro Universitário de Excelência Eniac (ENIAC)
Centro Universitário de Formiga (UNIFORMG)
Centro Universitário de Goiânia (UNICEUG)
Centro Universitário de Goiás (UNIGOIÁS)
Centro Universitário de Goiatuba (UNICERRADO)
Centro Universitário de Itajubá (FEPI)
Centro Universitário de Itapira Uniesi (UNIESI)
Centro Universitário de Jaguariúna (UniFAJ)
Centro Universitário de Jales (UNIJALES)
Centro Universitário de João Pessoa (UNIPÊ)
Centro Universitário de Lavras (UNILAVRAS)
